timestamp	rpm_diesel	power_generator	poz_kont_sec
1575815058	345	0	0
1575815061	347	0	0
1575815064	348	0	0
1575815067	349	0	0
1575815070	349	0	0
1575815073	349	0	0
1575815076	349	0	0
1575815079	349	0	0
1575815082	349	0	0
1575815085	349	0	0
1575815088	349	0	0
1575815091	349	0	0
1575815094	349	0	0
1575815097	349	0	0
1575815100	349	0	0
1575815103	349	0	0
1575815106	349	0	0
1575815109	349	0	0
1575815112	349	0	0
1575815115	349	0	0
1575815118	349	0	0
1575815121	349	0	0
1575815124	349	0	0
1575815127	350	0	0
1575815130	349	0	0
1575815133	349	0	0
1575815136	349	0	0
1575815139	349	0	0
1575815142	349	0	0
1575815145	349	0	0
1575815148	349	0	0
1575815151	349	0	0
1575815154	349	0	0
1575815157	349	0	0
1575815160	349	0	0
1575815163	349	0	0
1575815166	350	0	0
1575815169	350	0	0
1575815172	350	0	0
1575815175	350	0	0
1575815178	350	0	0
1575815181	350	0	0
1575815184	350	0	0
1575815187	350	0	0
1575815190	350	0	0
1575815193	351	0	0
1575815196	351	0	0
1575815199	351	0	0
1575815202	350	0	0
1575815205	351	0	0
1575815208	350	0	0
1575815211	350	0	0
1575815214	350	0	0
1575815217	350	0	0
1575815220	350	0	0
1575815223	351	0	0
1575815226	351	0	0
1575815229	350	0	0
1575815232	350	0	0
1575815235	350	0	0
1575815238	350	0	0
1575815241	350	0	0
1575815244	350	0	0
1575815247	350	0	0
1575815250	351	0	0
1575815253	351	0	0
1575815256	351	0	0
1575815259	351	0	0
1575815262	350	0	0
1575815265	351	0	0
1575815268	351	0	0
1575815271	350	0	0
1575815274	350	0	0
1575815277	350	0	0
1575815280	350	0	0
1575815283	350	0	0
1575815286	350	0	0
1575815289	350	0	0
1575815292	350	0	0
1575815295	349	0	0
1575815298	349	0	0
1575815301	350	0	0
1575815304	350	0	0
1575815307	350	0	0
1575815310	350	0	0
1575815313	350	0	0
1575815316	350	0	0
1575815319	350	0	0
1575815322	351	0	0
1575815325	351	0	0
1575815328	351	0	0
1575815331	351	0	0
1575815334	350	0	0
1575815337	351	0	0
1575815340	351	0	0
1575815343	351	0	0
1575815346	351	0	0
1575815349	351	0	0
1575815352	350	0	0
1575815355	350	0	0
1575815358	350	0	0
1575815361	350	0	0
1575815364	350	0	0
1575815367	350	0	0
1575815370	350	0	0
1575815373	350	0	0
1575815376	351	0	0
1575815379	351	0	0
1575815382	351	0	0
1575815385	351	0	0
1575815388	350	0	0
1575815391	350	0	0
1575815394	351	0	0
1575815397	350	0	0
1575815400	351	0	0
1575815403	351	0	0
1575815406	351	0	0
1575815409	351	0	0
1575815412	351	0	0
1575815415	351	0	0
1575815418	350	0	0
1575815421	350	0	0
1575815424	350	0	0
1575815427	350	0	0
1575815430	351	0	0
1575815433	350	0	0
1575815436	350	0	0
1575815439	351	0	0
1575815442	350	0	0
1575815445	350	0	0
1575815448	350	0	0
1575815451	350	0	0
1575815454	351	0	0
1575815457	350	0	0
1575815460	351	0	0
1575815463	351	0	0
1575815466	350	0	0
1575815469	350	0	0
1575815472	350	0	0
1575815475	350	0	0
1575815478	350	0	0
1575815481	351	0	0
1575815484	350	0	0
1575815487	350	0	0
1575815490	350	0	0
1575815493	351	0	0
1575815496	351	0	0
1575815499	351	0	0
1575815502	351	0	0
1575815505	351	0	0
1575815508	351	0	0
1575815511	350	0	0
1575815514	351	0	0
1575815517	350	0	0
1575815520	350	0	0
1575815523	350	0	0
1575815526	350	0	0
1575815529	350	0	0
1575815532	350	0	0
1575815535	351	0	0
1575815538	351	0	0
1575815541	351	0	0
1575815544	351	0	0
1575815547	351	0	0
1575815550	351	0	0
1575815553	351	0	0
1575815556	351	0	0
1575815559	351	0	0
1575815562	351	0	0
1575815565	351	0	0
1575815568	351	0	0
1575815571	351	0	0
1575815574	350	0	0
1575815577	351	0	0
1575815580	351	0	0
1575815583	351	0	0
1575815586	351	0	0
1575815589	351	0	0
1575815592	351	0	0
1575815595	351	0	0
1575815598	351	0	0
1575815601	351	0	1
1575815604	351	12	1
1575815607	349	4	1
1575815610	349	7	1
1575815613	347	47	1
1575815616	346	51	5
1575815619	350	111	4
1575815622	368	194	4
1575815625	394	274	5
1575815628	428	419	5
1575815631	450	370	6
1575815634	473	509	7
1575815637	499	647	7
1575815640	522	722	10
1575815643	534	743	8
1575815646	549	787	9
1575815649	560	900	9
1575815652	580	984	10
1575815655	600	1057	10
1575815658	624	1123	11
1575815661	644	1252	11
1575815664	668	1316	11
1575815667	683	1351	11
1575815670	695	1332	11
1575815673	699	1329	11
1575815676	703	1335	11
1575815679	707	1332	11
1575815682	709	1331	11
1575815685	710	1329	11
1575815688	710	1340	11
1575815691	709	1347	11
1575815694	709	1346	11
1575815697	709	1343	11
1575815700	709	1352	11
1575815703	709	1350	11
1575815706	709	1344	11
1575815709	709	1350	11
1575815712	709	1347	11
1575815715	708	1345	11
1575815718	707	1382	11
1575815721	706	1357	11
1575815724	708	1343	11
1575815727	709	1339	11
1575815730	711	1326	11
1575815733	710	1346	11
1575815736	710	1334	11
1575815739	710	1336	11
1575815742	710	1334	11
1575815745	709	1340	11
1575815748	708	1340	11
1575815751	709	1336	11
1575815754	709	1332	11
1575815757	710	1339	11
1575815760	710	1330	11
1575815763	710	1335	11
1575815766	710	1333	11
1575815769	710	1335	11
1575815772	710	1339	11
1575815775	710	1342	11
1575815778	709	1335	11
1575815781	709	1336	11
1575815784	709	1335	11
1575815787	710	1335	11
1575815790	710	1338	11
1575815793	709	1329	11
1575815796	709	1338	11
1575815799	709	1330	11
1575815802	709	1329	11
1575815805	710	1326	11
1575815808	710	1332	11
1575815811	709	1327	11
1575815814	709	1336	11
1575815817	709	1334	11
1575815820	709	1330	11
1575815823	709	1336	11
1575815826	709	1332	11
1575815829	709	1331	11
1575815832	709	1328	11
1575815835	709	1327	11
1575815838	709	1327	11
1575815841	709	1329	11
1575815844	709	1331	11
1575815847	710	1326	11
1575815850	710	1331	11
1575815853	709	1327	11
1575815856	709	1329	11
1575815859	709	1334	11
1575815862	709	1320	11
1575815865	709	1321	11
1575815868	709	1322	11
1575815871	710	1325	11
1575815874	709	1328	11
1575815877	709	1331	11
1575815880	708	1327	11
1575815883	708	1326	11
1575815886	709	1316	11
1575815889	709	1326	11
1575815892	710	1320	11
1575815895	709	1321	11
1575815898	708	1318	11
1575815901	708	1330	11
1575815904	709	1326	11
1575815907	709	1323	11
1575815910	708	1320	11
1575815913	708	1326	11
1575815916	708	1326	11
1575815919	709	1330	11
1575815922	708	1325	11
1575815925	707	1322	11
1575815928	707	1328	11
1575815931	708	1328	11
1575815934	709	1331	11
1575815937	710	1323	11
1575815940	709	1329	11
1575815943	709	1320	11
1575815946	709	1326	11
1575815949	711	1314	11
1575815952	711	1327	11
1575815955	710	1324	11
1575815958	709	1324	11
1575815961	708	1329	11
1575815964	708	1330	11
1575815967	709	1315	11
1575815970	709	1318	11
1575815973	709	1319	11
1575815976	709	1322	11
1575815979	708	1313	11
1575815982	708	1322	11
1575815985	707	1320	11
1575815988	708	1323	11
1575815991	708	1329	11
1575815994	709	1329	11
1575815997	709	1326	11
1575816000	709	1326	11
1575816003	709	1328	11
1575816006	710	1327	11
1575816009	711	1324	11
1575816012	711	1326	11
1575816015	710	1320	11
1575816018	710	1326	11
1575816021	709	1323	11
1575816024	709	1324	11
1575816027	709	1323	11
1575816030	709	1326	11
1575816033	709	1328	11
1575816036	709	1325	11
1575816039	709	1326	11
1575816042	709	1324	11
1575816045	709	1323	11
1575816048	709	1327	11
1575816051	709	1336	11
1575816054	708	1332	11
1575816057	709	1319	11
1575816060	710	1328	11
1575816063	710	1318	11
1575816066	710	1321	11
1575816069	709	1321	11
1575816072	709	1319	11
1575816075	709	1320	11
1575816078	709	1315	11
1575816081	709	1325	11
1575816084	709	1320	11
1575816087	709	1324	11
1575816090	709	1322	11
1575816093	709	1330	11
1575816096	710	1322	11
1575816099	710	1316	11
1575816102	710	1317	11
1575816105	710	1315	11
1575816108	710	1323	11
1575816111	710	1325	11
1575816114	710	1320	11
1575816117	709	1323	11
1575816120	708	1324	11
1575816123	707	1324	11
1575816126	706	1327	11
1575816129	707	1324	11
1575816132	708	1318	11
1575816135	709	1327	11
1575816138	708	1326	11
1575816141	708	1323	11
1575816144	709	1323	11
1575816147	711	1326	11
1575816150	711	1328	11
1575816153	710	1328	11
1575816156	709	1317	11
1575816159	710	1321	11
1575816162	711	1317	11
1575816165	711	1322	11
1575816168	710	1327	11
1575816171	709	1324	11
1575816174	708	1320	11
1575816177	709	1327	11
1575816180	709	1323	11
1575816183	709	1321	11
1575816186	709	1323	11
1575816189	708	1324	11
1575816192	709	1328	11
1575816195	709	1324	11
1575816198	709	1325	11
1575816201	709	1327	11
1575816204	709	1316	11
1575816207	709	1317	11
1575816210	710	1320	11
